image_id,file_path,class_name,class_id,source_set,split,review_status,image_quality,modality_check,duplicate_group,notes
000001,data/raw/original/Central_Serous_Chorioretinopathy/CSCR1.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000002,data/raw/original/Central_Serous_Chorioretinopathy/CSCR10.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000003,data/raw/original/Central_Serous_Chorioretinopathy/CSCR100.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000004,data/raw/original/Central_Serous_Chorioretinopathy/CSCR101.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000005,data/raw/original/Central_Serous_Chorioretinopathy/CSCR11.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000006,data/raw/original/Central_Serous_Chorioretinopathy/CSCR12.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000007,data/raw/original/Central_Serous_Chorioretinopathy/CSCR13.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000008,data/raw/original/Central_Serous_Chorioretinopathy/CSCR14.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000009,data/raw/original/Central_Serous_Chorioretinopathy/CSCR15.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000010,data/raw/original/Central_Serous_Chorioretinopathy/CSCR16.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000011,data/raw/original/Central_Serous_Chorioretinopathy/CSCR17.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000012,data/raw/original/Central_Serous_Chorioretinopathy/CSCR18.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000013,data/raw/original/Central_Serous_Chorioretinopathy/CSCR19.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000014,data/raw/original/Central_Serous_Chorioretinopathy/CSCR2.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000015,data/raw/original/Central_Serous_Chorioretinopathy/CSCR20.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000016,data/raw/original/Central_Serous_Chorioretinopathy/CSCR21.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000017,data/raw/original/Central_Serous_Chorioretinopathy/CSCR22.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000018,data/raw/original/Central_Serous_Chorioretinopathy/CSCR23.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000019,data/raw/original/Central_Serous_Chorioretinopathy/CSCR24.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000020,data/raw/original/Central_Serous_Chorioretinopathy/CSCR25.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000021,data/raw/original/Central_Serous_Chorioretinopathy/CSCR26.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000022,data/raw/original/Central_Serous_Chorioretinopathy/CSCR27.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000023,data/raw/original/Central_Serous_Chorioretinopathy/CSCR28.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000024,data/raw/original/Central_Serous_Chorioretinopathy/CSCR29.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000025,data/raw/original/Central_Serous_Chorioretinopathy/CSCR3.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000026,data/raw/original/Central_Serous_Chorioretinopathy/CSCR30.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000027,data/raw/original/Central_Serous_Chorioretinopathy/CSCR31.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000028,data/raw/original/Central_Serous_Chorioretinopathy/CSCR32.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000029,data/raw/original/Central_Serous_Chorioretinopathy/CSCR33.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000030,data/raw/original/Central_Serous_Chorioretinopathy/CSCR34.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000031,data/raw/original/Central_Serous_Chorioretinopathy/CSCR35.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000032,data/raw/original/Central_Serous_Chorioretinopathy/CSCR36.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000033,data/raw/original/Central_Serous_Chorioretinopathy/CSCR37.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000034,data/raw/original/Central_Serous_Chorioretinopathy/CSCR38.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000035,data/raw/original/Central_Serous_Chorioretinopathy/CSCR39.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000036,data/raw/original/Central_Serous_Chorioretinopathy/CSCR4.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000037,data/raw/original/Central_Serous_Chorioretinopathy/CSCR40.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000038,data/raw/original/Central_Serous_Chorioretinopathy/CSCR41.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000039,data/raw/original/Central_Serous_Chorioretinopathy/CSCR42.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000040,data/raw/original/Central_Serous_Chorioretinopathy/CSCR43.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000041,data/raw/original/Central_Serous_Chorioretinopathy/CSCR44.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000042,data/raw/original/Central_Serous_Chorioretinopathy/CSCR45.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000043,data/raw/original/Central_Serous_Chorioretinopathy/CSCR46.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000044,data/raw/original/Central_Serous_Chorioretinopathy/CSCR47.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000045,data/raw/original/Central_Serous_Chorioretinopathy/CSCR48.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000046,data/raw/original/Central_Serous_Chorioretinopathy/CSCR49.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000047,data/raw/original/Central_Serous_Chorioretinopathy/CSCR5.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000048,data/raw/original/Central_Serous_Chorioretinopathy/CSCR50.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000049,data/raw/original/Central_Serous_Chorioretinopathy/CSCR51.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000050,data/raw/original/Central_Serous_Chorioretinopathy/CSCR52.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000051,data/raw/original/Central_Serous_Chorioretinopathy/CSCR53.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000052,data/raw/original/Central_Serous_Chorioretinopathy/CSCR54.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000053,data/raw/original/Central_Serous_Chorioretinopathy/CSCR55.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000054,data/raw/original/Central_Serous_Chorioretinopathy/CSCR56.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000055,data/raw/original/Central_Serous_Chorioretinopathy/CSCR57.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000056,data/raw/original/Central_Serous_Chorioretinopathy/CSCR58.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000057,data/raw/original/Central_Serous_Chorioretinopathy/CSCR59.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000058,data/raw/original/Central_Serous_Chorioretinopathy/CSCR6.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000059,data/raw/original/Central_Serous_Chorioretinopathy/CSCR60.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000060,data/raw/original/Central_Serous_Chorioretinopathy/CSCR61.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000061,data/raw/original/Central_Serous_Chorioretinopathy/CSCR62.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000062,data/raw/original/Central_Serous_Chorioretinopathy/CSCR63.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000063,data/raw/original/Central_Serous_Chorioretinopathy/CSCR64.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000064,data/raw/original/Central_Serous_Chorioretinopathy/CSCR65.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000065,data/raw/original/Central_Serous_Chorioretinopathy/CSCR66.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000066,data/raw/original/Central_Serous_Chorioretinopathy/CSCR67.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000067,data/raw/original/Central_Serous_Chorioretinopathy/CSCR68.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000068,data/raw/original/Central_Serous_Chorioretinopathy/CSCR69.jpg,central_serous_chorioretinopathy,0,original,val,unreviewed,,,,
000069,data/raw/original/Central_Serous_Chorioretinopathy/CSCR7.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000070,data/raw/original/Central_Serous_Chorioretinopathy/CSCR70.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000071,data/raw/original/Central_Serous_Chorioretinopathy/CSCR71.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000072,data/raw/original/Central_Serous_Chorioretinopathy/CSCR72.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000073,data/raw/original/Central_Serous_Chorioretinopathy/CSCR73.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000074,data/raw/original/Central_Serous_Chorioretinopathy/CSCR74.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000075,data/raw/original/Central_Serous_Chorioretinopathy/CSCR75.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000076,data/raw/original/Central_Serous_Chorioretinopathy/CSCR76.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000077,data/raw/original/Central_Serous_Chorioretinopathy/CSCR77.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000078,data/raw/original/Central_Serous_Chorioretinopathy/CSCR78.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000079,data/raw/original/Central_Serous_Chorioretinopathy/CSCR79.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000080,data/raw/original/Central_Serous_Chorioretinopathy/CSCR8.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000081,data/raw/original/Central_Serous_Chorioretinopathy/CSCR80.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
000082,data/raw/original/Central_Serous_Chorioretinopathy/CSCR81.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000083,data/raw/original/Central_Serous_Chorioretinopathy/CSCR82.jpg,central_serous_chorioretinopathy,0,original,test,unreviewed,,,,
