image_id,file_path,class_name,class_id,source_set,split,review_status,image_quality,modality_check,duplicate_group,notes
000001,data/raw/original/Central_Serous_Chorioretinopathy/CSCR1.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000003,data/raw/original/Central_Serous_Chorioretinopathy/CSCR100.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000004,data/raw/original/Central_Serous_Chorioretinopathy/CSCR101.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000005,data/raw/original/Central_Serous_Chorioretinopathy/CSCR11.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000007,data/raw/original/Central_Serous_Chorioretinopathy/CSCR13.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000009,data/raw/original/Central_Serous_Chorioretinopathy/CSCR15.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000011,data/raw/original/Central_Serous_Chorioretinopathy/CSCR17.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000012,data/raw/original/Central_Serous_Chorioretinopathy/CSCR18.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000013,data/raw/original/Central_Serous_Chorioretinopathy/CSCR19.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000014,data/raw/original/Central_Serous_Chorioretinopathy/CSCR2.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000015,data/raw/original/Central_Serous_Chorioretinopathy/CSCR20.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000016,data/raw/original/Central_Serous_Chorioretinopathy/CSCR21.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000017,data/raw/original/Central_Serous_Chorioretinopathy/CSCR22.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000018,data/raw/original/Central_Serous_Chorioretinopathy/CSCR23.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000019,data/raw/original/Central_Serous_Chorioretinopathy/CSCR24.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000020,data/raw/original/Central_Serous_Chorioretinopathy/CSCR25.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
000021,data/raw/original/Central_Serous_Chorioretinopathy/CSCR26.jpg,central_serous_chorioretinopathy,0,original,train,unreviewed,,,,
